来源页面	附件URL	文件名	本地相对路径	大小	状态
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202608/t20260820_2275103.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202608/P020260902314872991362.docx	P020260902314872991362.docx	smsrmzfbgs/smsrmzf/szfgz/202608/2275103/attachments/P020260902314872991362.docx	67305	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202608/t20260820_2275103.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202608/P020260820568237382978.pdf	P020260820568237382978.pdf	smsrmzfbgs/smsrmzf/szfgz/202608/2275103/attachments/P020260820568237382978.pdf	320725	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202602/t20260212_2190069.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202602/P020260212390836600771.docx	P020260212390836600771.docx	smsrmzfbgs/smsrmzf/szfgz/202602/2190069/attachments/P020260212390836600771.docx	38592	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202602/t20260212_2190069.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202602/P020260212390837168208.pdf	P020260212390837168208.pdf	smsrmzfbgs/smsrmzf/szfgz/202602/2190069/attachments/P020260212390837168208.pdf	167957	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202512/t20251212_2176368.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202512/P020251212590237439264.docx	P020251212590237439264.docx	smsrmzfbgs/smsrmzf/szfgz/202512/2176368/attachments/P020251212590237439264.docx	39519	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202512/t20251212_2176368.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202512/P020251212591010129464.pdf	P020251212591010129464.pdf	smsrmzfbgs/smsrmzf/szfgz/202512/2176368/attachments/P020251212591010129464.pdf	163681	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202505/t20250513_2122747.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202505/P020250929335010787560.docx	P020250929335010787560.docx	smsrmzfbgs/smsrmzf/szfgz/202505/2122747/attachments/P020250929335010787560.docx	39765	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202505/t20250513_2122747.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202505/P020250929335010902012.pdf	P020250929335010902012.pdf	smsrmzfbgs/smsrmzf/szfgz/202505/2122747/attachments/P020250929335010902012.pdf	187232	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202302/t20230224_1882404.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202302/P020230224605068617487.pdf	P020230224605068617487.pdf	smsrmzfbgs/smsrmzf/szfgz/202302/1882404/attachments/P020230224605068617487.pdf	192999	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202302/t20230224_1882404.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202302/P020230224605072321053.docx	P020230224605072321053.docx	smsrmzfbgs/smsrmzf/szfgz/202302/1882404/attachments/P020230224605072321053.docx	46644	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738723.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217414172707676.docx	P020211217414172707676.docx	smsrmzfbgs/smsrmzf/szfgz/202112/1738723/attachments/P020211217414172707676.docx	37899	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738723.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217414173086303.pdf	P020211217414173086303.pdf	smsrmzfbgs/smsrmzf/szfgz/202112/1738723/attachments/P020211217414173086303.pdf	238569	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738722.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217385873484114.docx	P020211217385873484114.docx	smsrmzfbgs/smsrmzf/szfgz/202112/1738722/attachments/P020211217385873484114.docx	36082	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738722.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217385873697329.pdf	P020211217385873697329.pdf	smsrmzfbgs/smsrmzf/szfgz/202112/1738722/attachments/P020211217385873697329.pdf	222290	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738721.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217385678690241.docx	P020211217385678690241.docx	smsrmzfbgs/smsrmzf/szfgz/202112/1738721/attachments/P020211217385678690241.docx	39598	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738721.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217385678963983.pdf	P020211217385678963983.pdf	smsrmzfbgs/smsrmzf/szfgz/202112/1738721/attachments/P020211217385678963983.pdf	260502	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738718.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217381144444291.docx	P020211217381144444291.docx	smsrmzfbgs/smsrmzf/szfgz/202112/1738718/attachments/P020211217381144444291.docx	37121	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738718.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217381144667505.pdf	P020211217381144667505.pdf	smsrmzfbgs/smsrmzf/szfgz/202112/1738718/attachments/P020211217381144667505.pdf	214967	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738717.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217377382183373.docx	P020211217377382183373.docx	smsrmzfbgs/smsrmzf/szfgz/202112/1738717/attachments/P020211217377382183373.docx	39558	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738717.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217377382391020.pdf	P020211217377382391020.pdf	smsrmzfbgs/smsrmzf/szfgz/202112/1738717/attachments/P020211217377382391020.pdf	217751	done
