栏目	标题	原始链接	本地文件
zw	关于三明市2025年国民经济和社会发展计划执行情况 及2026年国民经济和社会发展计划（草案）的报告	https://www.sm.gov.cn/zw/gzbg/jhbg/202601/t20260126_2186216.htm	zw/gzbg/jhbg/202601/2186216/page.txt
zw	关于“三明市第一医院病房环境提升改造项目”项目选址的批前公示	https://www.sm.gov.cn/zw/gsgg/csgh/202606/t20260602_2212881.htm	zw/gsgg/csgh/202606/2212881/page.txt
zw	2026年市政府召开第84次常务会议	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260830_2310308.htm	zw/zwxx/sjdt/202608/2310308/page.txt
zw	三明市国民经济和社会发展第十五个五年规划纲要	https://www.sm.gov.cn/zw/ghjh/ghgy/202604/t20260430_2204798.htm	zw/ghjh/ghgy/202604/2204798/page.txt
zw	2026年政府工作报告	https://www.sm.gov.cn/zw/gzbg/zfgzbg/202601/t20260126_2186338.htm	zw/gzbg/zfgzbg/202601/2186338/page.txt
zw	关于同意部分市直事业单位聘用毛慧颖等25位同志的通知	http://rsj.sm.gov.cn/xxgk/rsrc/gkzp/202608/t20260831_2312710.htm	子站_rsj/xxgk/rsrc/gkzp/202608/2312710/page.txt
zw	关于同意部分市直事业单位聘用陈秋昊等5位同志的通知	http://rsj.sm.gov.cn/xxgk/rsrc/gkzp/202608/t20260831_2312706.htm	子站_rsj/xxgk/rsrc/gkzp/202608/2312706/page.txt
zw	2026年1-7月三明市商贸业主要数据	https://www.sm.gov.cn/zw/tjxx/tjyb/202608/t20260826_2295539.htm	zw/tjxx/tjyb/202608/2295539/page.txt
zw	三明市关于第二轮中央生态环境保护督察“闽江流域小水电生态环境”问题销号公示	https://www.sm.gov.cn/zw/gsgg/qt_5599/202609/t20260907_2314361.htm	zw/gsgg/qt_5599/202609/2314361/page.txt
zw	关于三明市2025年预算执行情况及2026年预算草案的报告	https://www.sm.gov.cn/zw/gzbg/czbg/202601/t20260128_2186879.htm	zw/gzbg/czbg/202601/2186879/page.txt
zw	三明市自然资源局关于小蕉星空加油加气合建站（一期）建筑设计方案总平面图的批前公示	https://www.sm.gov.cn/zw/gsgg/csgh/202603/t20260320_2195826.htm	zw/gsgg/csgh/202603/2195826/page.txt
zw	2025年政府工作报告	https://www.sm.gov.cn/zw/gzbg/zfgzbg/202501/t20250117_2095414.htm	zw/gzbg/zfgzbg/202501/2095414/page.txt
zw	2026年1-6月三明市规模以上工业经济效益主要数据	https://www.sm.gov.cn/zw/tjxx/tjyb/202608/t20260826_2295544.htm	zw/tjxx/tjyb/202608/2295544/page.txt
zw	三明市区名成蔬菜批发价格监测表（2026年9月2日）	https://www.sm.gov.cn/zw/gsgg/wj/202609/t20260903_2313584.htm	zw/gsgg/wj/202609/2313584/page.txt
zw	市政府召开党组（扩大）会议暨理论学习中心组学习会	https://www.sm.gov.cn/zw/zwxx/sjdt/202607/t20260723_2262138.htm	zw/zwxx/sjdt/202607/2262138/page.txt
zw	关于三明市2024年预算执行情况及2025年预算草案的报告	https://www.sm.gov.cn/zw/gzbg/czbg/202501/t20250122_2096677.htm	zw/gzbg/czbg/202501/2096677/page.txt
zw	三明市区价比三家一览表（2026年9月2日）	https://www.sm.gov.cn/zw/gsgg/wj/202609/t20260903_2313586.htm	zw/gsgg/wj/202609/2313586/page.txt
zw	关于同意部分市直事业单位聘用陈慧等16位同志的通知	http://rsj.sm.gov.cn/xxgk/rsrc/gkzp/202608/t20260831_2312711.htm	子站_rsj/xxgk/rsrc/gkzp/202608/2312711/page.txt
zw	2026年1-7月三明市居民消费价格主要数据	https://www.sm.gov.cn/zw/tjxx/tjyb/202608/t20260826_2295537.htm	zw/tjxx/tjyb/202608/2295537/page.txt
zw	关于同意三明市农业科学研究院聘用邱芊同志的通知	http://rsj.sm.gov.cn/xxgk/rsrc/gkzp/202608/t20260831_2312712.htm	子站_rsj/xxgk/rsrc/gkzp/202608/2312712/page.txt
zw	2026年市政府召开第83次常务会议	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260808_2268633.htm	zw/zwxx/sjdt/202608/2268633/page.txt
zw	三明市关于第二轮中央生态环境保护督察“闽江流域生态环境问题不容忽视”问题销号公示	https://www.sm.gov.cn/zw/gsgg/qt_5599/202609/t20260907_2314360.htm	zw/gsgg/qt_5599/202609/2314360/page.txt
zw	三明市自然资源局关于“三明中关村南片区基础设施提升改造工程医科院周边路网”项目选址的批前公示	https://www.sm.gov.cn/zw/gsgg/csgh/202608/t20260814_2272131.htm	zw/gsgg/csgh/202608/2272131/page.txt
zw	2026年1-7月三明市规模以上工业增加值主要数据	https://www.sm.gov.cn/zw/tjxx/tjyb/202608/t20260826_2295547.htm	zw/tjxx/tjyb/202608/2295547/page.txt
zw	2026年1-7月规模以上工业企业主要产品产量	https://www.sm.gov.cn/zw/tjxx/tjyb/202608/t20260826_2295542.htm	zw/tjxx/tjyb/202608/2295542/page.txt
zw	三明市政府网站统一技术平台运维服务询价公告	https://www.sm.gov.cn/zw/gsgg/qt_5599/202608/t20260831_2312845.htm	zw/gsgg/qt_5599/202608/2312845/page.txt
zw	关于同意部分市直事业单位聘用林玉等6位同志的通知	http://rsj.sm.gov.cn/xxgk/rsrc/gkzp/202608/t20260831_2312705.htm	子站_rsj/xxgk/rsrc/gkzp/202608/2312705/page.txt
zw	e三明与国产移动操作系统适配工作项目可研报告暨初步设计方案编制服务采购公告	https://www.sm.gov.cn/zw/gsgg/qt_5599/202609/t20260901_2313267.htm	zw/gsgg/qt_5599/202609/2313267/page.txt
zw	关于征集三明市2026年汽车消费补贴活动参与企业的公告	https://www.sm.gov.cn/zw/gsgg/qt_5599/202608/t20260831_2312980.htm	zw/gsgg/qt_5599/202608/2312980/page.txt
zw	2026年1-7月三明市国民经济主要指标	https://www.sm.gov.cn/zw/tjxx/tjyb/202608/t20260826_2295550.htm	zw/tjxx/tjyb/202608/2295550/page.txt
zw	关于同意部分市直事业单位聘用王玉璇等21位同志的通知	http://rsj.sm.gov.cn/xxgk/rsrc/gkzp/202608/t20260831_2312708.htm	子站_rsj/xxgk/rsrc/gkzp/202608/2312708/page.txt
zw	市政府召开党组会议	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260811_2268930.htm	zw/zwxx/sjdt/202608/2268930/page.txt
zw	关于“三明中关村城市产业园标准厂房一期工程”《建设工程规划许可证》变更的批前公示	https://www.sm.gov.cn/zw/gsgg/csgh/202605/t20260518_2207571.htm	zw/gsgg/csgh/202605/2207571/page.txt
zw	关于三明市2024年国民经济和社会发展计划执行情况及2025年国民经济和社会发展计划（草案）的报告	https://www.sm.gov.cn/zw/gzbg/jhbg/202501/t20250122_2096785.htm	zw/gzbg/jhbg/202501/2096785/page.txt
zw	关于“福建一建·日月芳华(梅列区棚户区改造立丰旧厂生活区A地块）5#楼”项目建设工程规划许可证变更的批前公示	https://www.sm.gov.cn/zw/gsgg/csgh/202604/t20260429_2204744.htm	zw/gsgg/csgh/202604/2204744/page.txt
zw/zxwj	三明市人民政府关于三明生态新城G基本单元局部地块详细规划的批复	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/cxjsgl/202609/t20260901_2313021.htm	smsrmzfbgs/smsrmzf/zfxxgkml/cxjsgl/202609/2313021/page.txt
zw/zxwj	三明市人力资源和社会保障局关于公布郑永富等20位同志农业技术系列高级职称的通知	http://rsj.sm.gov.cn/szfgzjg/rsj/zfxxgkml/ldgx/202608/t20260831_2312688.htm	子站_rsj/szfgzjg/rsj/zfxxgkml/ldgx/202608/2312688/page.txt
zw/zxwj	三明市人力资源和社会保障局关于公布盖军静等5位同志党校系统教师高级职称的通知	http://rsj.sm.gov.cn/szfgzjg/rsj/zfxxgkml/ldgx/202608/t20260831_2312682.htm	子站_rsj/szfgzjg/rsj/zfxxgkml/ldgx/202608/2312682/page.txt
zw/zxwj	三明市人民政府关于修改部分规章的决定	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202608/t20260820_2274895.htm	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202608/2274895/page.txt
zw/zxwj	三明市人民政府关于郑礼群任职的通知	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/t20260823_2291591.htm	smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/2291591/page.txt
zw/zxwj	三明市人民政府关于施明光等职务任免的通知	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/t20260823_2291590.htm	smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/2291590/page.txt
zw/zxwj	中共三明市公安局委员会关于转发徐东海等同志退休的通知	http://gaj.sm.gov.cn/szfgzjg/gaj/zfxxgkml/zdgkdqtxx/202609/t20260907_2314156.htm	子站_gaj/szfgzjg/gaj/zfxxgkml/zdgkdqtxx/202609/2314156/page.txt
zw/zxwj	三明市司法局关于印发《三明市公证类行政处罚裁量权基准（试行）》和《三明市司法鉴定类行政处罚裁量权基准（试行）》的通知	http://smsfj.sm.gov.cn/szfgzjg/sfj/zfxxgkml/yjgl_2298/202609/t20260903_2313701.htm	子站_smsfj/szfgzjg/sfj/zfxxgkml/yjgl_2298/202609/2313701/page.txt
zw/zxwj	三明市市场监督管理局关于印发《三明市市场监督管理局行政执法行为规范》的通知	http://gsj.sm.gov.cn/szfgzjg/gsj/zfxxgkml/gfxwj_2543/202609/t20260904_2313960.htm	子站_gsj/szfgzjg/gsj/zfxxgkml/gfxwj_2543/202609/2313960/page.txt
zw/zxwj	三明市医疗保障局 三明市卫生健康委员会关于落实省规范整合药学类和骨骼肌肉系统类医疗服务价格项目的通知	https://www.sm.gov.cn/szfgzjg/ylbzj/zfxxgkml/zcwj/202609/t20260902_2313521.htm	szfgzjg/ylbzj/zfxxgkml/zcwj/202609/2313521/page.txt
zw/zxwj	三明市人民政府关于三明市三元区洋溪片区F	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/cxjsgl/202609/t20260901_2313019.htm	smsrmzfbgs/smsrmzf/zfxxgkml/cxjsgl/202609/2313019/page.txt
zw/zxwj	三明市生态环境局行政处罚决定书（尤溪县福锋新型材料厂）	http://shb.sm.gov.cn/szfgzjg/hbj/zfxxgkml/fggh/202608/t20260831_2312885.htm	子站_shb/szfgzjg/hbj/zfxxgkml/fggh/202608/2312885/page.txt
zw/zxwj	三明市人民政府关于郑德炜等职务任免的通知	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/t20260810_2268673.htm	smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/2268673/page.txt
zw/zxwj	三明市人民政府关于林克明等正式任职的通知	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/t20260810_2268674.htm	smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/2268674/page.txt
zw/zxwj	三明市人民政府关于三元区部分道路命名的批复	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202608/t20260823_2291593.htm	smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202608/2291593/page.txt
zw/zxwj	三明市生态环境局不予行政处罚决定书（福建永佳福建筑材料有限公司）	http://shb.sm.gov.cn/szfgzjg/hbj/zfxxgkml/fggh/202609/t20260901_2313041.htm	子站_shb/szfgzjg/hbj/zfxxgkml/fggh/202609/2313041/page.txt
zw/zxwj	三明市人民政府关于三明市沙县区06单元(生态新城)G	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/cxjsgl/202609/t20260901_2313018.htm	smsrmzfbgs/smsrmzf/zfxxgkml/cxjsgl/202609/2313018/page.txt
zw/zxwj	三明市人民政府关于张瑛免职的通知	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/t20260823_2291592.htm	smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/2291592/page.txt
zw/zxwj	三明市人力资源和社会保障局关于公布吴爱农等11位同志新闻系列高级职称的通知	http://rsj.sm.gov.cn/szfgzjg/rsj/zfxxgkml/ldgx/202608/t20260831_2312685.htm	子站_rsj/szfgzjg/rsj/zfxxgkml/ldgx/202608/2312685/page.txt
zw/rsxx	三明市人民政府关于邓朝祥免职的通知	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202606/t20260628_2232340.htm	smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202606/2232340/page.txt
zw/rsxx	三明市人民政府关于给予邢世会等8位驻点专家及时奖励和通报表扬的决定	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202501/t20250102_2091077.htm	smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202501/2091077/page.txt
zw/rsxx	关于同意部分市直事业单位聘用陈秋昊等5位同志的通知	http://rsj.sm.gov.cn/xxgk/fgwj/zxwj/202608/t20260831_2312706.htm	子站_rsj/xxgk/fgwj/zxwj/202608/2312706/page.txt
zw/rsxx	关于同意部分市直事业单位聘用巫颖等3位同志的通知	http://rsj.sm.gov.cn/xxgk/fgwj/zxwj/202608/t20260831_2312698.htm	子站_rsj/xxgk/fgwj/zxwj/202608/2312698/page.txt
zw/rsxx	三明市教育局关于福建省新时代基础教育学科教学带头人骨干校长培养对象拟推荐人员的公示	http://smjy.sm.gov.cn/zwzx/gsgg/202411/t20241125_2080624.htm	子站_smjy/zwzx/gsgg/202411/2080624/page.txt
zw/rsxx	关于同意部分市直事业单位聘用王玉璇等21位同志的通知	http://rsj.sm.gov.cn/xxgk/fgwj/zxwj/202608/t20260831_2312708.htm	子站_rsj/xxgk/fgwj/zxwj/202608/2312708/page.txt
zw/rsxx	三明市人民政府关于薛军等职务任免的通知	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/t20260810_2268672.htm	smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/2268672/page.txt
zw/rsxx	关于同意部分市直事业单位聘用陈慧等16位同志的通知	http://rsj.sm.gov.cn/xxgk/fgwj/zxwj/202608/t20260831_2312711.htm	子站_rsj/xxgk/fgwj/zxwj/202608/2312711/page.txt
zw/rsxx	关于三明市“四领一促”工作先进集体和先进个人拟表彰对象的公示	http://rsj.sm.gov.cn/xxgk/tzgg/202603/t20260323_2196001.htm	子站_rsj/xxgk/tzgg/202603/2196001/page.txt
zw/rsxx	关于同意三明市农业科学研究院聘用翁雅红等3位同志的通知	http://rsj.sm.gov.cn/xxgk/fgwj/zxwj/202608/t20260831_2312691.htm	子站_rsj/xxgk/fgwj/zxwj/202608/2312691/page.txt
zw/rsxx	三明市人民政府关于表扬2023年度三明市银行机构服务地方经济发展先进单位的通报	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202404/t20240401_2014245.htm	smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202404/2014245/page.txt
zw/rsxx	三明市人民政府关于给予杨涛等8位驻点专家及时奖励的决定	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202504/t20250408_2113747.htm	smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202504/2113747/page.txt
zw/rsxx	三明市人民政府关于黄国钢免职的通知	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202607/t20260727_2262730.htm	smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202607/2262730/page.txt
zw/rsxx	关于同意部分市直事业单位聘用毛慧颖等25位同志的通知	http://rsj.sm.gov.cn/xxgk/fgwj/zxwj/202608/t20260831_2312710.htm	子站_rsj/xxgk/fgwj/zxwj/202608/2312710/page.txt
zw/rsxx	三明市人民政府关于给予明树人等4位驻点专家及时奖励的决定	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202407/t20240710_2042121.htm	smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202407/2042121/page.txt
zw/rsxx	关于同意三明市人才培训中心聘用胡琼婧同志的通知	http://rsj.sm.gov.cn/xxgk/fgwj/zxwj/202608/t20260831_2312696.htm	子站_rsj/xxgk/fgwj/zxwj/202608/2312696/page.txt
zw/rsxx	关于同意部分市直事业单位聘用潘子玥等2位同志的通知	http://rsj.sm.gov.cn/xxgk/fgwj/zxwj/202608/t20260831_2312694.htm	子站_rsj/xxgk/fgwj/zxwj/202608/2312694/page.txt
zw/rsxx	三明市人民政府关于杨金笔等职务任免的通知	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/t20260810_2268670.htm	smsrmzfbgs/smsrmzf/zfxxgkml/rsrm/202608/2268670/page.txt
zw/rsxx	关于同意三明市农业科学研究院聘用邱芊同志的通知	http://rsj.sm.gov.cn/xxgk/fgwj/zxwj/202608/t20260831_2312712.htm	子站_rsj/xxgk/fgwj/zxwj/202608/2312712/page.txt
